county	state	population
Autauga	AL	25508
Baldwin	AL	60141
Barbour	AL	23092
Bibb	AL	13919
Blount	AL	27817
Bullock	AL	11418
Butler	AL	21846
Calhoun	AL	103621
Chambers	AL	36280
Cherokee	AL	16522
Chilton	AL	25630
Choctaw	AL	16516
Clarke	AL	25876
Clay	AL	12926
Cleburne	AL	11165
Coffee	AL	36396
Colbert	AL	50386
Conecuh	AL	15788
Coosa	AL	10720
Covington	AL	34607
Crenshaw	AL	13363
Cullman	AL	54323
Dale	AL	54548
Dallas	AL	55936
DeKalb	AL	43656
Elmore	AL	33857
Escambia	AL	35218
Etowah	AL	94886
Fayette	AL	16095
Franklin	AL	24627
Geneva	AL	22173
Greene	AL	10295
Hale	AL	15601
Henry	AL	13456
Houston	AL	58517
Jackson	AL	40669
Jefferson	AL	649806
Lamar	AL	14678
Lauderdale	AL	70157
Lawrence	AL	27408
Lee	AL	61895
Limestone	AL	41954
Lowndes	AL	13255
Macon	AL	25273
Madison	AL	188553
Marengo	AL	23396
Marion	AL	25441
Marshall	AL	55909
Mobile	AL	323275
Monroe	AL	21113
Montgomery	AL	169878
Morgan	AL	80252
Perry	AL	15355
Pickens	AL	20352
Pike	AL	25140
Randolph	AL	18599
Russell	AL	45623
St. Clair	AL	29546
Shelby	AL	40109
Sumter	AL	15819
Talladega	AL	64751
Tallapoosa	AL	33755
Tuscaloosa	AL	119591
Walker	AL	58705
Washington	AL	16458
Wilcox	AL	16245
Winston	AL	17730
Aleutians East	AK	0
Aleutians West	AK	8023
Anchorage	AK	134609
Bethel	AK	0
Bristol Bay	AK	1178
Denali	AK	0
Dillingham	AK	3571
Fairbanks North Star	AK	47258
Haines	AK	1722
Hoonah-Angoon	AK	2685
Juneau	AK	14671
Kenai Peninsula	AK	16483
Ketchikan Gateway	AK	10576
Kodiak Island	AK	9445
Lake and Peninsula	AK	0
Matanuska-Susitna	AK	7256
Nome	AK	5818
North Slope	AK	2719
Northwest Arctic	AK	4473
Petersburg	AK	5678
Prince of Wales-Hyder	AK	3699
Sitka	AK	6424
Skagway	AK	0
Southeast Fairbanks	AK	4245
Valdez-Cordova	AK	5357
Wade Hampton	AK	3940
Wrangell	AK	0
Yakutat	AK	0
Yukon-Koyukuk	AK	0
Apache	AZ	35537
Cochise	AZ	67149
Coconino	AZ	53330
Gila	AZ	30973
Graham	AZ	17452
Greenlee	AZ	11171
La Paz	AZ	0
Maricopa	AZ	1026415
Mohave	AZ	28736
Navajo	AZ	51231
Pima	AZ	380253
Pinal	AZ	73798
Santa Cruz	AZ	14799
Yavapai	AZ	40403
Yuma	AZ	64853
Arkansas	AR	23328
Ashley	AR	25440
Baxter	AR	16578
Benton	AR	53448
Boone	AR	19256
Bradley	AR	13082
Calhoun	AR	5547
Carroll	AR	12551
Chicot	AR	17757
Clark	AR	21884
Clay	AR	19733
Cleburne	AR	11072
Cleveland	AR	6405
Columbia	AR	26876
Conway	AR	16988
Craighead	AR	55259
Crawford	AR	27225
Crittenden	AR	47168
Cross	AR	19895
Dallas	AR	10392
Desha	AR	18837
Drew	AR	15072
Faulkner	AR	33405
Franklin	AR	11411
Fulton	AR	8517
Garland	AR	57206
Grant	AR	10329
Greene	AR	25987
Hempstead	AR	19947
Hot Spring	AR	22338
Howard	AR	12010
Independence	AR	23752
Izard	AR	7896
Jackson	AR	21475
Jefferson	AR	84464
Johnson	AR	14118
Lafayette	AR	10004
Lawrence	AR	16759
Lee	AR	17972
Lincoln	AR	12848
Little River	AR	12146
Logan	AR	17166
Lonoke	AR	26443
Madison	AR	9504
Marion	AR	7539
Miller	AR	34538
Mississippi	AR	61575
Monroe	AR	15079
Montgomery	AR	5690
Nevada	AR	10223
Newton	AR	5954
Ouachita	AR	30219
Perry	AR	5929
Phillips	AR	39030
Pike	AR	9317
Poinsett	AR	27234
Polk	AR	14253
Pope	AR	30579
Prairie	AR	10626
Pulaski	AR	294958
Randolph	AR	13011
St. Francis	AR	30091
Saline	AR	39430
Scott	AR	8894
Searcy	AR	8090
Sebastian	AR	81932
Sevier	AR	11778
Sharp	AR	8884
Stone	AR	7155
Union	AR	44875
Van Buren	AR	8768
Washington	AR	79550
White	AR	41616
Woodruff	AR	10729
Yell	AR	14955
Alameda	CA	1084482
Alpine	CA	584
Amador	CA	12542
Butte	CA	105916
Calaveras	CA	13918
Colusa	CA	12350
Contra Costa	CA	563370
Del Norte	CA	14985
El Dorado	CA	46046
Fresno	CA	424697
Glenn	CA	17396
Humboldt	CA	100115
Imperial	CA	74931
Inyo	CA	15799
Kern	CA	336227
Kings	CA	66450
Lake	CA	20929
Lassen	CA	17231
Los Angeles	CA	7103641
Madera	CA	42754
Marin	CA	207014
Mariposa	CA	6623
Mendocino	CA	52008
Merced	CA	108032
Modoc	CA	7728
Mono	CA	4529
Monterey	CA	252730
Napa	CA	81771
Nevada	CA	27421
Orange	CA	1484215
Placer	CA	80905
Plumas	CA	12125
Riverside	CA	477556
Sacramento	CA	653794
San Benito	CA	18673
San Bernardino	CA	693603
San Diego	CA	1391923
San Francisco	CA	708076
San Joaquin	CA	296167
San Luis Obispo	CA	109301
San Mateo	CA	556301
Santa Barbara	CA	269930
Santa Clara	CA	1100481
Santa Cruz	CA	129886
Shasta	CA	79434
Sierra	CA	2444
Siskiyou	CA	33382
Solano	CA	178481
Sonoma	CA	212402
Stanislaus	CA	199698
Sutter	CA	43040
Tehama	CA	30115
Trinity	CA	7939
Tulare	CA	194103
Tuolumne	CA	23057
Ventura	CA	395691
Yolo	CA	95307
Yuba	CA	45305
Adams	CO	193785
Alamosa	CO	11832
Arapahoe	CO	171306
Archuleta	CO	2490
Baca	CO	5616
Bent	CO	6525
Boulder	CO	140806
Broomfield	CO	0
Chaffee	CO	10810
Cheyenne	CO	2418
Clear Creek	CO	5739
Conejos	CO	7829
Costilla	CO	3064
Crowley	CO	3108
Custer	CO	1194
Delta	CO	15408
Denver	CO	525559
Dolores	CO	1591
Douglas	CO	9424
Eagle	CO	8519
Elbert	CO	3980
El Paso	CO	250167
Fremont	CO	22976
Garfield	CO	15757
Gilpin	CO	1429
Grand	CO	4791
Gunnison	CO	8328
Hinsdale	CO	209
Huerfano	CO	6327
Jackson	CO	2024
Jefferson	CO	249213
Kiowa	CO	2012
Kit Carson	CO	7843
Lake	CO	8503
La Plata	CO	20126
Larimer	CO	97124
Las Animas	CO	16174
Lincoln	CO	5006
Logan	CO	19161
Mesa	CO	55310
Mineral	CO	839
Moffat	CO	6458
Montezuma	CO	13548
Montrose	CO	18479
Morgan	CO	21097
Otero	CO	23095
Ouray	CO	1541
Park	CO	2318
Phillips	CO	3933
Pitkin	CO	7032
Prowers	CO	13454
Pueblo	CO	120744
Rio Blanco	CO	4829
Rio Grande	CO	10375
Routt	CO	7393
Saguache	CO	3888
San Juan	CO	794
San Miguel	CO	2049
Sedgwick	CO	3437
Summit	CO	3337
Teller	CO	3727
Washington	CO	5447
Weld	CO	93778
Yuma	CO	8398
Fairfield	CT	792757
Hartford	CT	824079
Litchfield	CT	145079
Middlesex	CT	117094
New Haven	CT	757030
New London	CT	233975
Tolland	CT	105536
Windham	CT	85895
Kent	DE	86628
New Castle	DE	394658
Sussex	DE	83919
Alachua	FL	108877
Baker	FL	9745
Bay	FL	78060
Bradford	FL	15264
Brevard	FL	231700
Broward	FL	668169
Calhoun	FL	7719
Charlotte	FL	30046
Citrus	FL	22680
Clay	FL	34614
Collier	FL	42683
Columbia	FL	26336
DeSoto	FL	14105
Dixie	FL	5505
Duval	FL	536025
Escambia	FL	211115
Flagler	FL	4534
Franklin	FL	7005
Gadsden	FL	39355
Gilchrist	FL	3789
Glades	FL	3953
Gulf	FL	10240
Hamilton	FL	7961
Hardee	FL	15721
Hendry	FL	12370
Hernando	FL	19978
Highlands	FL	31931
Hillsborough	FL	513134
Holmes	FL	11384
Indian River	FL	37617
Jackson	FL	35078
Jefferson	FL	8523
Lafayette	FL	2815
Lake	FL	73436
Lee	FL	116946
Leon	FL	110324
Levy	FL	13105
Liberty	FL	3664
Madison	FL	13939
Manatee	FL	100855
Marion	FL	76690
Martin	FL	31015
Miami-Dade	FL	1325035
Monroe	FL	54560
Nassau	FL	21614
Okaloosa	FL	90679
Okeechobee	FL	12894
Orange	FL	364826
Osceola	FL	28635
Palm Beach	FL	371530
Pasco	FL	89002
Pinellas	FL	558598
Polk	FL	241478
Putnam	FL	38633
St. Johns	FL	32713
St. Lucie	FL	53574
Santa Rosa	FL	40037
Sarasota	FL	131667
Seminole	FL	91817
Sumter	FL	15797
Suwannee	FL	16389
Taylor	FL	13542
Union	FL	8722
Volusia	FL	177388
Wakulla	FL	6802
Walton	FL	17027
Washington	FL	12034
Appling	GA	13341
Atkinson	GA	5706
Bacon	GA	8509
Baker	GA	3608
Baldwin	GA	34934
Banks	GA	6821
Barrow	GA	17539
Bartow	GA	34481
Ben Hill	GA	13272
Berrien	GA	11893
Bibb	GA	145838
Bleckley	GA	10573
Brantley	GA	5957
Brooks	GA	14078
Bryan	GA	6807
Bulloch	GA	32098
Burke	GA	18349
Butts	GA	11018
Calhoun	GA	6120
Camden	GA	11654
Candler	GA	6328
Carroll	GA	47842
Catoosa	GA	29076
Charlton	GA	6062
Chatham	GA	182247
Chattahoochee	GA	20343
Chattooga	GA	21356
Cherokee	GA	32704
Clarke	GA	67133
Clay	GA	3538
Clayton	GA	106825
Clinch	GA	6493
Cobb	GA	207132
Coffee	GA	23604
Colquitt	GA	32785
Columbia	GA	23110
Cook	GA	12084
Coweta	GA	33845
Crawford	GA	6030
Crisp	GA	18120
Dade	GA	10637
Dawson	GA	3638
Decatur	GA	22646
DeKalb	GA	440216
Dodge	GA	16212
Dooly	GA	10599
Dougherty	GA	93261
Douglas	GA	31802
Early	GA	12843
Echols	GA	1982
Effingham	GA	14222
Elbert	GA	17207
Emanuel	GA	18822
Evans	GA	8248
Fannin	GA	13733
Fayette	GA	12156
Floyd	GA	75746
Forsyth	GA	19107
Franklin	GA	13040
Fulton	GA	603562
Gilmer	GA	9584
Glascock	GA	2298
Glynn	GA	52138
Gordon	GA	24900
Grady	GA	17699
Greene	GA	10144
Gwinnett	GA	78963
Habersham	GA	21368
Hall	GA	62006
Hancock	GA	9332
Haralson	GA	16503
Harris	GA	11706
Hart	GA	16227
Heard	GA	5524
Henry	GA	24928
Houston	GA	65851
Irwin	GA	8518
Jackson	GA	21893
Jasper	GA	6064
Jeff Davis	GA	10007
Jefferson	GA	16878
Jenkins	GA	8292
Johnson	GA	7704
Jones	GA	13845
Lamar	GA	11071
Lanier	GA	5193
Laurens	GA	33223
Lee	GA	7394
Liberty	GA	17977
Lincoln	GA	5983
Long	GA	3610
Lowndes	GA	58022
Lumpkin	GA	9058
McDuffie	GA	15195
McIntosh	GA	7713
Macon	GA	13291
Madison	GA	14339
Marion	GA	5322
Meriwether	GA	20112
Miller	GA	6303
Mitchell	GA	18991
Monroe	GA	12060
Montgomery	GA	6058
Morgan	GA	10267
Murray	GA	13725
Muscogee	GA	170663
Newton	GA	27417
Oconee	GA	8141
Oglethorpe	GA	7600
Paulding	GA	18442
Peach	GA	17090
Pickens	GA	9856
Pierce	GA	9548
Pike	GA	7435
Polk	GA	30466
Pulaski	GA	7897
Putnam	GA	8703
Quitman	GA	1986
Rabun	GA	8651
Randolph	GA	8751
Richmond	GA	160549
Rockdale	GA	19450
Schley	GA	2796
Screven	GA	12807
Seminole	GA	7502
Spalding	GA	40581
Stephens	GA	20843
Stewart	GA	6370
Sumter	GA	27676
Talbot	GA	6607
Taliaferro	GA	2368
Tattnall	GA	16801
Taylor	GA	7702
Telfair	GA	11450
Terrell	GA	11268
Thomas	GA	35441
Tift	GA	28423
Toombs	GA	19895
Towns	GA	4879
Treutlen	GA	5693
Troup	GA	44679
Turner	GA	8601
Twiggs	GA	8064
Union	GA	7193
Upson	GA	23725
Walker	GA	52206
Walton	GA	25158
Ware	GA	34229
Warren	GA	7022
Washington	GA	17706
Wayne	GA	18279
Webster	GA	2362
Wheeler	GA	4661
White	GA	7925
Whitfield	GA	57556
Wilcox	GA	7032
Wilkes	GA	10357
Wilkinson	GA	9951
Worth	GA	15531
Hawaii	HI	73508
Honolulu	HI	642719
Kalawao	HI	0
Kauai	HI	33245
Maui	HI	51784
Ada	ID	117821
Adams	ID	2880
Bannock	ID	53233
Bear Lake	ID	5803
Benewah	ID	6431
Bingham	ID	29610
Blaine	ID	6170
Boise	ID	1977
Bonner	ID	15916
Bonneville	ID	52700
Boundary	ID	6178
Butte	ID	2847
Camas	ID	675
Canyon	ID	66202
Caribou	ID	6507
Cassia	ID	17321
Clark	ID	757
Clearwater	ID	11089
Custer	ID	3065
Elmore	ID	18616
Franklin	ID	7375
Fremont	ID	8952
Gem	ID	9738
Gooding	ID	9159
Idaho	ID	13259
Jefferson	ID	11749
Jerome	ID	10871
Kootenai	ID	36643
Latah	ID	26329
Lemhi	ID	5736
Lewis	ID	4019
Lincoln	ID	3199
Madison	ID	14062
Minidoka	ID	16548
Nez Perce	ID	30700
Oneida	ID	2846
Owyhee	ID	6800
Payette	ID	12604
Power	ID	4798
Shoshone	ID	19567
Teton	ID	2411
Twin Falls	ID	43868
Valley	ID	3714
Washington	ID	7985
Adams	IL	70526
Alexander	IL	12173
Bond	IL	14411
Boone	IL	25643
Brown	IL	5769
Bureau	IL	37273
Calhoun	IL	5536
Carroll	IL	19123
Cass	IL	14438
Champaign	IL	164330
Christian	IL	36471
Clark	IL	16343
Clay	IL	14774
Clinton	IL	28361
Coles	IL	49134
Cook	IL	5523037
Crawford	IL	19527
Cumberland	IL	9709
DeKalb	IL	71744
De Witt	IL	17029
Douglas	IL	18934
DuPage	IL	506442
Edgar	IL	21496
Edwards	IL	7043
Effingham	IL	25352
Fayette	IL	20993
Ford	IL	15585
Franklin	IL	39637
Fulton	IL	42519
Gallatin	IL	7682
Greene	IL	16775
Grundy	IL	27425
Hamilton	IL	8708
Hancock	IL	23240
Hardin	IL	4923
Henderson	IL	8446
Henry	IL	52428
Iroquois	IL	34043
Jackson	IL	56417
Jasper	IL	10697
Jefferson	IL	32342
Jersey	IL	19322
Jo Daviess	IL	22313
Johnson	IL	7524
Kane	IL	255582
Kankakee	IL	98659
Kendall	IL	26984
Knox	IL	60616
Lake	IL	385150
LaSalle	IL	111968
Lawrence	IL	17872
Lee	IL	37878
Livingston	IL	41875
Logan	IL	33725
McDonough	IL	37459
McHenry	IL	112144
McLean	IL	107919
Macon	IL	125277
Macoupin	IL	44775
Madison	IL	253952
Marion	IL	39834
Marshall	IL	13301
Mason	IL	16666
Massac	IL	13573
Menard	IL	9790
Mercer	IL	17259
Monroe	IL	18328
Montgomery	IL	30513
Morgan	IL	37241
Moultrie	IL	13558
Ogle	IL	42577
Peoria	IL	198750
Perry	IL	20161
Piatt	IL	15683
Pike	IL	19193
Pope	IL	3901
Pulaski	IL	8922
Putnam	IL	5021
Randolph	IL	32374
Richland	IL	17225
Rock Island	IL	166594
St. Clair	IL	282279
Saline	IL	26670
Sangamon	IL	165734
Schuyler	IL	7897
Scott	IL	6208
Shelby	IL	22572
Stark	IL	7546
Stephenson	IL	48773
Tazewell	IL	121541
Union	IL	16489
Vermilion	IL	97441
Wabash	IL	13059
Warren	IL	21591
Washington	IL	14249
Wayne	IL	17079
White	IL	16936
Whiteside	IL	63617
Will	IL	253980
Williamson	IL	50411
Winnebago	IL	245505
Woodford	IL	28251
Adams	IN	27176
Allen	IN	284939
Bartholomew	IN	57662
Benton	IN	11414
Blackford	IN	15996
Boone	IN	31280
Brown	IN	9372
Carroll	IN	18408
Cass	IN	40015
Clark	IN	77797
Clay	IN	24260
Clinton	IN	30658
Crawford	IN	7879
Daviess	IN	26753
Dearborn	IN	29306
Decatur	IN	23176
DeKalb	IN	31462
Delaware	IN	130523
Dubois	IN	31473
Elkhart	IN	127024
Fayette	IN	26484
Floyd	IN	55509
Fountain	IN	18592
Franklin	IN	17434
Fulton	IN	17742
Gibson	IN	30953
Grant	IN	83432
Greene	IN	27580
Hamilton	IN	55708
Hancock	IN	35204
Harrison	IN	20990
Hendricks	IN	54799
Henry	IN	53041
Howard	IN	83903
Huntington	IN	35213
Jackson	IN	32961
Jasper	IN	20973
Jay	IN	23919
Jefferson	IN	27068
Jennings	IN	19963
Johnson	IN	62213
Knox	IN	41942
Kosciusko	IN	49004
LaGrange	IN	21121
Lake	IN	551069
LaPorte	IN	106309
Lawrence	IN	39378
Madison	IN	141492
Marion	IN	795903
Marshall	IN	36182
Martin	IN	11428
Miami	IN	39041
Monroe	IN	87185
Montgomery	IN	34279
Morgan	IN	44519
Newton	IN	12076
Noble	IN	31416
Ohio	IN	4365
Orange	IN	17164
Owen	IN	12526
Parke	IN	14877
Perry	IN	19116
Pike	IN	12254
Porter	IN	89888
Posey	IN	22136
Pulaski	IN	12648
Putnam	IN	27219
Randolph	IN	29457
Ripley	IN	21679
Rush	IN	20184
St. Joseph	IN	243928
Scott	IN	17545
Shelby	IN	38152
Spencer	IN	17856
Starke	IN	19983
Steuben	IN	20733
Sullivan	IN	19930
Switzerland	IN	6418
Tippecanoe	IN	110971
Tipton	IN	16606
Union	IN	6733
Vanderburgh	IN	170043
Vermillion	IN	17290
Vigo	IN	115601
Wabash	IN	35483
Warren	IN	8612
Warrick	IN	29491
Washington	IN	19415
Wayne	IN	79421
Wells	IN	24341
White	IN	21332
Whitley	IN	23882
Adair	IA	9276
Adams	IA	6280
Allamakee	IA	15261
Appanoose	IA	15225
Audubon	IA	9385
Benton	IA	22968
Black Hawk	IA	133411
Boone	IA	26932
Bremer	IA	22792
Buchanan	IA	21553
Buena Vista	IA	21036
Butler	IA	17004
Calhoun	IA	14159
Carroll	IA	22845
Cass	IA	17223
Cedar	IA	17959
Cerro Gordo	IA	49456
Cherokee	IA	17311
Chickasaw	IA	14718
Clarke	IA	7615
Clay	IA	18556
Clayton	IA	20773
Clinton	IA	57354
Crawford	IA	18931
Dallas	IA	26390
Davis	IA	8243
Decatur	IA	9732
Delaware	IA	18411
Des Moines	IA	46390
Dickinson	IA	12867
Dubuque	IA	91737
Emmet	IA	13916
Fayette	IA	26829
Floyd	IA	21009
Franklin	IA	13232
Fremont	IA	9663
Greene	IA	12744
Grundy	IA	14078
Guthrie	IA	12325
Hamilton	IA	18040
Hancock	IA	13514
Hardin	IA	22281
Harrison	IA	16579
Henry	IA	18273
Howard	IA	11260
Humboldt	IA	12667
Ida	IA	9184
Iowa	IA	15405
Jackson	IA	21346
Jasper	IA	35711
Jefferson	IA	16250
Johnson	IA	73556
Jones	IA	19792
Keokuk	IA	14152
Kossuth	IA	22997
Lee	IA	44199
Linn	IA	164769
Louisa	IA	11019
Lucas	IA	10310
Lyon	IA	13029
Madison	IA	11650
Mahaska	IA	22545
Marion	IA	26766
Marshall	IA	41766
Mills	IA	12287
Mitchell	IA	12884
Monona	IA	12033
Monroe	IA	9464
Montgomery	IA	13129
Muscatine	IA	37851
O'Brien	IA	17815
Osceola	IA	8466
Page	IA	18999
Palo Alto	IA	13629
Plymouth	IA	24360
Pocahontas	IA	12733
Polk	IA	291334
Pottawattamie	IA	88329
Poweshiek	IA	18702
Ringgold	IA	6390
Sac	IA	15527
Scott	IA	145017
Shelby	IA	15680
Sioux	IA	28147
Story	IA	63650
Tama	IA	20447
Taylor	IA	8916
Union	IA	13673
Van Buren	IA	8530
Wapello	IA	42252
Warren	IA	28085
Washington	IA	19024
Wayne	IA	8258
Webster	IA	48175
Winnebago	IA	12959
Winneshiek	IA	21905
Woodbury	IA	104425
Worth	IA	8900
Wright	IA	17153
Allen	KS	15101
Anderson	KS	8471
Atchison	KS	19286
Barber	KS	6726
Barton	KS	30797
Bourbon	KS	15222
Brown	KS	11691
Butler	KS	37918
Chase	KS	3383
Chautauqua	KS	4609
Cherokee	KS	21631
Cheyenne	KS	4016
Clark	KS	2722
Clay	KS	9851
Cloud	KS	13032
Coffey	KS	7372
Comanche	KS	2710
Cowley	KS	34736
Crawford	KS	38712
Decatur	KS	4780
Dickinson	KS	20049
Doniphan	KS	9207
Douglas	KS	59620
Edwards	KS	4527
Elk	KS	3675
Ellis	KS	24864
Ellsworth	KS	6193
Finney	KS	19175
Ford	KS	22483
Franklin	KS	19944
Geary	KS	30554
Gove	KS	3897
Graham	KS	4536
Grant	KS	5975
Gray	KS	4391
Greeley	KS	1727
Greenwood	KS	9000
Hamilton	KS	2699
Harper	KS	7552
Harvey	KS	27510
Haskell	KS	3612
Hodgeman	KS	2622
Jackson	KS	10517
Jefferson	KS	12061
Jewell	KS	5766
Johnson	KS	223130
Kearny	KS	3072
Kingman	KS	8667
Kiowa	KS	3796
Labette	KS	25192
Lane	KS	2677
Leavenworth	KS	52734
Lincoln	KS	4432
Linn	KS	7764
Logan	KS	3685
Lyon	KS	32996
McPherson	KS	24862
Marion	KS	13864
Marshall	KS	13134
Meade	KS	4719
Miami	KS	19617
Mitchell	KS	7798
Montgomery	KS	40100
Morris	KS	6264
Morton	KS	3474
Nemaha	KS	11673
Neosho	KS	18783
Ness	KS	4749
Norton	KS	7016
Osage	KS	13491
Osborne	KS	6039
Ottawa	KS	6189
Pawnee	KS	8469
Phillips	KS	7721
Pottawatomie	KS	11879
Pratt	KS	9917
Rawlins	KS	4177
Reno	KS	61056
Republic	KS	8273
Rice	KS	12296
Riley	KS	58247
Rooks	KS	7446
Rush	KS	4874
Russell	KS	9024
Saline	KS	47025
Scott	KS	5353
Sedgwick	KS	344931
Seward	KS	16303
Shawnee	KS	156157
Sheridan	KS	3612
Sherman	KS	7610
Smith	KS	6604
Stafford	KS	5848
Stanton	KS	2202
Stevens	KS	4049
Sumner	KS	22879
Thomas	KS	7586
Trego	KS	4413
Wabaunsee	KS	6542
Wallace	KS	2178
Washington	KS	8838
Wichita	KS	3217
Wilson	KS	10948
Woodson	KS	4765
Wyandotte	KS	186801
Adair	KY	13611
Allen	KY	12919
Anderson	KY	9991
Ballard	KY	8744
Barren	KY	29832
Bath	KY	9386
Bell	KY	31915
Boone	KY	34161
Bourbon	KY	18718
Boyd	KY	52877
Boyle	KY	22632
Bracken	KY	7371
Breathitt	KY	14362
Breckinridge	KY	15164
Bullitt	KY	28323
Butler	KY	9959
Caldwell	KY	13252
Calloway	KY	27966
Campbell	KY	88637
Carlisle	KY	5376
Carroll	KY	8618
Carter	KY	20484
Casey	KY	12983
Christian	KY	59217
Clark	KY	25220
Clay	KY	19248
Clinton	KY	8324
Crittenden	KY	8718
Cumberland	KY	6861
Daviess	KY	80298
Edmonson	KY	9557
Elliott	KY	5977
Estill	KY	13185
Fayette	KY	179030
Fleming	KY	11670
Floyd	KY	38300
Franklin	KY	35394
Fulton	KY	10401
Gallatin	KY	4236
Garrard	KY	9421
Grant	KY	10599
Graves	KY	31473
Grayson	KY	17393
Green	KY	10430
Greenup	KY	33826
Hancock	KY	7316
Hardin	KY	78744
Harlan	KY	39051
Harrison	KY	14224
Hart	KY	14584
Henderson	KY	36104
Henry	KY	10935
Hickman	KY	6494
Hopkins	KY	39437
Jackson	KY	10030
Jefferson	KY	705610
Jessamine	KY	18023
Johnson	KY	18376
Kenton	KY	130515
Knott	KY	15425
Knox	KY	24575
Larue	KY	10937
Laurel	KY	28260
Lawrence	KY	11156
Lee	KY	6855
